YEAR,EDGROUP,FTOTVAL
1964,0,3787.9391534391534
1964,1,3695.731920773837
1964,2,5456.595322971624
1964,3,7393.2555368065805
1964,4,9401.005596772095
1964,5,11537.605749486653
1965,0,3628.9946308724834
1965,1,3880.7034802784224
1965,2,5587.5378544285295
1965,3,7665.9707042843675
1965,4,9880.974967907574
1965,5,12506.475773889637
1966,0,3640.6975354742344
1966,1,3834.4371227364186
1966,2,5834.574558779539
1966,3,8039.3901597334925
1966,4,10429.242678843228
1966,5,12798.038866930172
1967,0,4353.082352941176
1967,1,4420.839428331232
1967,2,6444.507565506212
1967,3,8718.70450778469
1967,4,11152.939563567363
1967,5,13549.803728638011
1968,0,8409.350299063311
1968,1,4307.629497390827
1968,2,6563.971533110852
1968,3,8979.069755263066
1968,4,11429.617747440274
1968,5,14177.374216651746
1969,0,9274.73752038777
1969,1,4867.145549434619
1969,2,7233.453600654664
1969,3,9735.920654076932
1969,4,12207.397872460178
1969,5,14959.719438325992
1970,0,10117.313261475112
1970,1,5196.691393705844
1970,2,7766.481795796324
1970,3,10647.72896683538
1970,4,13331.178079083225
1970,5,16462.890430760337
1971,0,10542.29525440313
1971,1,5447.553790135717
1971,2,8184.123651340825
1971,3,11118.703206381617
1971,4,13883.055552596537
1971,5,17472.43681244969
1972,0,10889.758048676911
1972,1,5852.2757879656165
1972,2,8469.626031471886
1972,3,11516.505198863135
1972,4,14415.921544209215
1972,5,18069.94352071787
1973,0,11824.950566281652
1973,1,6242.054965883245
1973,2,9296.566717713118
1973,3,12490.91941940137
1973,4,15500.186841129416
1973,5,19135.867252066117
1974,0,12832.387157807603
1974,1,6446.829945269742
1974,2,10005.104271491275
1974,3,13424.408620499835
1974,4,16344.779669762642
1974,5,19990.870004814635
1975,0,13495.398685347487
1975,1,6953.697762769101
1975,2,10707.370101759712
1975,3,14262.083353593536
1975,4,17451.79308067466
1975,5,20753.516068496363
1976,0,13969.895848161328
1976,1,7462.771394611727
1976,2,11162.909045477261
1976,3,14946.705702299285
1976,4,18823.08380952381
1976,5,23267.714630401402
1977,0,15147.648767985384
1977,1,8295.093649085038
1977,2,11994.332458825244
1977,3,16148.459537441273
1977,4,19839.205937559855
1977,5,24522.044055944058
1978,0,16245.242252834989
1978,1,8941.864330972792
1978,2,12990.620429454066
1978,3,17332.624273865367
1978,4,21361.00680506174
1978,5,26329.237173950594
1979,0,17647.022782996777
1979,1,9747.300696594428
1979,2,13872.30885413887
1979,3,18968.939397255133
1979,4,23026.02586174772
1979,5,28573.040882543803
1980,0,19486.138493640257
1980,1,10275.334035827187
1980,2,13884.326260677874
1980,3,20744.284685785635
1980,4,25200.956922602527
1980,5,30799.78432893716
1981,0,20639.075586991068
1981,1,11315.219081272086
1981,2,14595.139423631124
1981,3,22002.1841561212
1981,4,27210.739335340084
1981,5,32755.166601486115
1982,0,22112.043251022573
1982,1,12781.173982442138
1982,2,15957.894088182957
1982,3,23496.734209485297
1982,4,30012.327149577926
1982,5,37625.69154851265
1983,0,23176.75007660096
1983,1,12840.84957195271
1983,2,16136.250872988703
1983,3,24264.249410438573
1983,4,31893.307377442357
1983,5,40501.128125404844
1984,0,24015.556346932983
1984,1,13188.342741935483
1984,2,17137.06721006721
1984,3,25165.240273467367
