YEAR,EDGROUP,0
1964,0,756
1964,1,2171
1964,2,14026
1964,3,28446
1964,4,7683
1964,5,1461
1965,0,745
1965,1,2155
1965,2,13684
1965,3,28639
1965,4,7790
1965,5,1486
1966,0,1339
1966,1,3976
1966,2,26744
1966,3,58535
1966,4,16425
1966,5,3036
1967,0,765
1967,1,2379
1967,2,16258
1967,3,36803
1967,4,10540
1967,5,1931
1968,0,44305
1968,1,3641
1968,2,24871
1968,3,57286
1968,4,17287
1968,5,3351
1969,0,43531
1969,1,3449
1969,2,24440
1969,3,58831
1969,4,17767
1969,5,3632
1970,0,41285
1970,1,3114
1970,2,22742
1970,3,56506
1970,4,17627
1970,5,3459
1971,0,40880
1971,1,3021
1971,2,22337
1971,3,57791
1971,4,18775
1971,5,3727
1972,0,37677
1972,1,2792
1972,2,20844
1972,3,56647
1972,4,18469
1972,5,3789
1973,0,35583
1973,1,2638
1973,2,19590
1973,3,55460
1973,4,18877
1973,5,3872
1974,0,33826
1974,1,2558
1974,2,18682
1974,3,54498
1974,4,19380
1974,5,4154
1975,0,32404
1975,1,2369
1975,2,17787
1975,3,53471
1975,4,19684
1975,5,4263
1976,0,33720
1976,1,2524
1976,2,18009
1976,3,55539
1976,4,21000
1976,5,4559
1977,0,39407
1977,1,2787
1977,2,20583
1977,3,66197
1977,4,26105
1977,5,5720
1978,0,36949
1978,1,2683
1978,2,19746
1978,3,64382
1978,4,26157
1978,5,5789
1979,0,36299
1979,1,2584
1979,2,18737
1979,3,63974
1979,4,26835
1979,5,6164
1980,0,45049
1980,1,2847
1980,2,18145
1980,3,75283
1980,4,32430
1980,5,7734
1981,0,44677
1981,1,2830
1981,2,17350
1981,3,75941
1981,4,32889
1981,5,7671
1982,0,39606
1982,1,2506
1982,2,15173
1982,3,68253
1982,4,29971
1982,5,7194
1983,0,39164
1983,1,2453
1983,2,14605
1983,3,67423
1983,4,31271
1983,5,7719
1984,0,38751
1984,1,2232
1984,2,13986
1984,3,66699
1984,4,31646
1984,5,7853
1985,0,38274
1985,1,2129
1985,2,13696
1985,3,66563
1985,4,32697
1985,5,8003
1986,0,37050
1986,1,1941
1986,2,13027
1986,3,64908
1986,4,32800
1986,5,7935
1987,0,36446
1987,1,1799
1987,2,12392
1987,3,63809
1987,4,32933
1987,5,8089
1988,0,36561
1988,1,1816
1988,2,11835
1988,3,64206
1988,4,33152
1988,5,8410
1989,0,33762
1989,1,1667
1989,2,10571
1989,3,59496
1989,4,31158
1989,5,8033
1990,0,37469
1990,1,1895
1990,2,11385
1990,3,63413
1990,4,35121
1990,5,8796
1991,0,37985
1991,1,1867
1991,2,10860
1991,3,63295
1991,4,35615
1991,5,8855
1992,0,36959
1992,1,1755
1992,2,9485
1992,3,58811
1992,4,41753
1992,5,7033
1993,0,37128
1993,1,1593
1993,2,9119
1993,3,57344
1993,4,42881
1993,5,7132
1994,0,36562
1994,1,1369
1994,2,8670
1994,3,54155
1994,4,43142
1994,5,7045
1995,0,35868
1995,1,1351
1995,2,8545
1995,3,53143
1995,4,43329
1995,5,7406
1996,0,31347
1996,1,1206
1996,2,7442
1996,3,46415
1996,4,37777
1996,5,6289
1997,0,31140
1997,1,1154
1997,2,7279
1997,3,47294
1997,4,38545
1997,5,6442
1998,0,31063
1998,1,1157
1998,2,6919
1998,3,46739
1998,4,39185
1998,5,6554
1999,0,31105
1999,1,1092
1999,2,6648
1999,3,46766
1999,4,39863
1999,5,6850
