YEAR,EDGROUP,CUMULATIVE_ED
1964,0,0.5057364506151065
1964,1,0.46009355366175897
1964,2,0.3991139866552176
1964,3,0.3337669775596296
1964,4,0.34472279878989953
1964,5,0.351863897242967
1965,0,0.49446606097303275
1965,1,0.4595976811112391
1965,2,0.4102835871086116
1965,3,0.33676946224823295
1965,4,0.34312916404012994
1965,5,0.3612289966485142
1966,0,0.4816956128737662
1966,1,0.4460148594359115
1966,2,0.4003105084426483
1966,3,0.32838568904758036
1966,4,0.3454983481504485
1966,5,0.34740044355134314
1967,0,0.4770666112216456
1967,1,0.434014440636308
1967,2,0.39518973557057113
1967,3,0.3234165869706588
1967,4,0.33317084345324477
1967,5,0.3390679766198413
1968,0,0.32647597305013426
1968,1,0.4423818229963294
1968,2,0.39686725508370924
1968,3,0.3276843192322348
1968,4,0.3404644529795037
1968,5,0.3384094903736187
1969,0,0.3258447083473969
1969,1,0.4416450223168076
1969,2,0.3954680375191189
1969,3,0.32388674238783727
1969,4,0.33586138443987834
1969,5,0.32985624136379954
1970,0,0.32689442967155447
1970,1,0.4622298061807418
1970,2,0.39878535499156736
1970,3,0.3255342483651264
1970,4,0.3398866157125706
1970,5,0.3333227816661075
1971,0,0.3357358354137665
1971,1,0.4495458508819306
1971,2,0.4074133885105872
1971,3,0.33353280697477067
1971,4,0.34090825150112924
1971,5,0.33367996549414863
1972,0,0.33936123412835745
1972,1,0.43413454252543154
1972,2,0.4068603024316249
1972,3,0.3380656805353383
1972,4,0.34838286003883384
1972,5,0.3228616832556891
1973,0,0.3413313491493743
1973,1,0.44520678041516104
1973,2,0.41146584004512804
1973,3,0.34240460814708695
1973,4,0.34698898421887503
1973,5,0.3287836267904312
1974,0,0.3411685318264855
1974,1,0.4386268774146423
1974,2,0.4095750842449124
1974,3,0.3423397237782357
1974,4,0.34391297738132703
1974,5,0.31955501457669916
1975,0,0.3472162610900271
1975,1,0.43873104058380197
1975,2,0.4058597380687363
1975,3,0.3445074571128339
1975,4,0.3411890768069556
1975,5,0.32010093465620276
1976,0,0.36193018443921404
1976,1,0.4211390873474272
1976,2,0.4098645783726758
1976,3,0.3489010041288187
1976,4,0.3442156249224324
1976,5,0.3280173450025832
1977,0,0.3600383572384554
1977,1,0.4272281425862502
1977,2,0.41393170023877496
1977,3,0.35543568424936833
1977,4,0.3521910238241502
1977,5,0.3317385115756658
1978,0,0.36027490182009125
1978,1,0.4278980799761639
1978,2,0.4241395953792076
1978,3,0.3587803821755382
1978,4,0.35310189203490017
1978,5,0.33415927826211833
1979,0,0.35977144088266044
1979,1,0.4246755276562414
1979,2,0.41878666237095563
1979,3,0.35933339123674585
1979,4,0.3525669900771845
1979,5,0.33540877897187016
