YEAR,EDGROUP,0
1964,0,12891.392
1964,1,14154.4
1964,2,25913.44
1964,3,36148.159999999996
1964,4,45185.2
1964,5,54440.0
1965,0,11822.8
1965,1,14939.72
1965,2,25134.197999999997
1965,3,37456.78
1965,4,47022.5
1965,5,55889.6
1966,0,12333.947999999999
1966,1,14809.199999999999
1966,2,26445.0
1966,3,38609.7
1966,4,48182.79
1966,5,58179.0
1967,0,14305.044000000002
1967,1,16773.204
1967,2,28281.000000000004
1967,3,40878.9
1967,4,51214.32000000001
1967,5,59390.100000000006
1968,0,38657.0
1968,1,15742.128
1968,2,28077.452
1968,3,40569.898
1968,4,50378.8
1968,5,61302.520000000004
1969,0,40689.5
1969,1,17242.774
1969,2,29449.624
1969,3,42944.176999999996
1969,4,52388.928
1969,5,62259.722
1970,0,41922.36
1970,1,16516.52
1970,2,29934.49
1970,3,44324.02
1970,4,54180.36
1970,5,64922.0
1971,0,41321.162
1971,1,17137.354
1971,2,29581.365999999998
1971,3,43326.46
1971,4,53159.719999999994
1971,5,65874.254
1972,0,41140.0
1972,1,18064.574
1972,2,28798.0
1972,3,42851.424
1972,4,52346.536
1972,5,66214.83
1973,0,42981.038
1973,1,17960.916
1973,2,30000.629
1973,3,44842.5
1973,4,55006.8
1973,5,68190.49500000001
1974,0,44273.6
1974,1,17761.968
1974,2,30353.679999999997
1974,3,45299.772
1974,4,55066.227999999996
1974,5,67858.67199999999
1975,0,41832.02
1975,1,16895.0
1975,2,29410.816
1975,3,43589.1
1975,4,53062.1265
1975,5,63940.817
1976,0,38805.409999999996
1976,1,17033.5
1976,2,27767.702
1976,3,41812.597
1976,4,52127.1555
1976,5,64262.75
1977,0,40330.272
1977,1,17790.528
1977,2,27918.48
1977,3,42734.159999999996
1977,4,51532.799999999996
1977,5,63380.952
1978,0,40960.1
1978,1,18093.918
1978,2,27558.725000000002
1978,3,42719.46
1978,4,52231.0
1978,5,63776.8
1979,0,40969.425
1979,1,18012.75
1979,2,27453.475000000002
1979,3,43358.350000000006
1979,4,52122.0
1979,5,64990.25750000001
1980,0,41307.705
1980,1,17083.98
1980,2,24391.26
1980,3,42468.975
1980,4,51202.597499999996
1980,5,63702.314999999995
1981,0,38256.24
1981,1,16369.100999999999
1981,2,22778.840999999997
1981,3,39550.31999999999
1981,4,48948.575999999994
1981,5,60700.439999999995
1982,0,36660.0
1982,1,16858.101
1982,2,22087.649999999998
1982,3,37922.937
1982,4,48550.671
1982,5,61144.2975
1983,0,34865.2
1983,1,16740.474
1983,2,20969.174
1983,3,36263.26
1983,4,47879.24
1983,5,61835.676
1984,0,34959.008
1984,1,15436.771
1984,2,21566.643
1984,3,36307.446
1984,4,49065.744
1984,5,64243.200000000004
1985,0,36869.0
1985,1,16926.077
1985,2,22156.666
1985,3,37542.26
1985,4,50013.6
1985,5,66242.372
1986,0,37306.8
1986,1,16563.600000000002
1986,2,21972.312
1986,3,37715.472
1986,4,50720.22
1986,5,68266.8
1987,0,38038.0
1987,1,15573.92
1987,2,21954.88
1987,3,38182.4
1987,4,52820.0
1987,5,69692.0
1988,0,38935.647000000004
1988,1,15856.069500000001
1988,2,21673.458000000002
1988,3,38435.4
1988,4,53987.067
1988,5,69939.95850000001
1989,0,39001.6
1989,1,15923.071999999998
1989,2,21373.44
1989,3,38017.407999999996
1989,4,52921.087999999996
1989,5,70936.44799999999
1990,0,39615.744000000006
1990,1,16765.056
1990,2,22158.528000000002
1990,3,38304.0
1990,4,53894.4
1990,5,71995.392
1991,0,37984.799999999996
1991,1,17238.0
1991,2,21055.9875
1991,3,36975.0
1991,4,52249.49999999999
1991,5,70331.54999999999
1992,0,36690.0
1992,1,16141.154
1992,2,19934.9
1992,3,34244.0
1992,4,50585.726
1992,5,74480.70000000001
1993,0,36345.94
1993,1,16618.0
1993,2,19477.483
1993,3,33487.644
1993,4,50100.896
1993,5,75255.8
1994,0,35990.895000000004
1994,1,16689.675
1994,2,19084.456000000002
1994,3,32802.85
1994,4,49020.3715
1994,5,75982.7
1995,0,37579.816000000006
1995,1,16860.0
1995,2,20007.2
1995,3,33720.0
1995,4,49523.44
1995,5,74746.00000000001
1996,0,36658.127
1996,1,17286.888
1996,2,20111.2
1996,3,33267.640999999996
1996,4,49276.812
1996,5,76355.887
1997,0,36736.173
1997,1,16107.354000000001
1997,2,20485.98
1997,3,33464.682
1997,4,49700.538
1997,5,75754.053
1998,0,38364.48
1998,1,16806.258
1998,2,20786.988
1998,3,34325.622
1998,4,50862.0
1998,5,78889.038
1999,0,39124.204
1999,1,18099.62
1999,2,21829.920000000002
1999,3,34886.992
1999,4,52122.0
1999,5,81257.176
