YEAR,EDGROUP,0
1964,0,0.013860623728067763
1964,1,0.03980345782226867
1964,2,0.25715490530407203
1964,3,0.5215334690061053
1964,4,0.1408613387602442
1964,5,0.026786205379242065
1965,0,0.013669975595882494
1965,1,0.03954200994513661
1965,2,0.2510871759114846
1965,3,0.5254958806583607
1965,4,0.14293840253949613
1965,5,0.027266555349639444
1966,0,0.012166643950751897
1966,1,0.03612739085002953
1966,2,0.24300576984235156
1966,3,0.5318704284221526
1966,4,0.14924356003816275
1966,5,0.027586206896551724
1967,0,0.011139262624497642
1967,1,0.0346409225930456
1967,2,0.23673481274389888
1967,3,0.5358931795678258
1967,4,0.15347428504863417
1967,5,0.028117537422097966
1968,0,0.2939147279107874
1968,1,0.024154012511526393
1968,2,0.16499160812254132
1968,3,0.3800293218168912
1968,4,0.11468014674176236
1968,5,0.022230182896491334
1969,0,0.2870491262776129
1969,1,0.02274315858885592
1969,2,0.1611605670952852
1969,3,0.38793933399274644
1969,4,0.1171579294427959
1969,5,0.023949884602703593
1970,0,0.28524939025654134
1970,1,0.021515480229111535
1970,2,0.15713071656083963
1970,3,0.39041545466479655
1970,4,0.12178977841957259
1970,5,0.023899179869138344
1971,0,0.278985334161372
1971,1,0.02061679781070217
1971,2,0.15243873310084555
1971,3,0.39439436023776536
1971,4,0.1281298837788591
1971,5,0.02543489091045581
1972,0,0.26870301958379095
1972,1,0.019911851545450655
1972,2,0.1486542384002054
1972,3,0.4039923547618708
1972,4,0.1317163274329972
1972,5,0.027022208275685005
1973,0,0.26160123511248345
1973,1,0.019394206734303778
1973,2,0.14402293780326422
1973,3,0.40773415674165564
1973,4,0.13878106160858697
1973,5,0.028466401999705924
1974,0,0.25414356338938227
1974,1,0.019218921396264407
1974,2,0.14036274023651746
1974,3,0.4094576928278411
1974,4,0.1456069963485552
1974,5,0.03121008580143954
1975,0,0.2493037283232547
1975,1,0.018226161350382374
1975,2,0.13684623551677977
1975,3,0.41138500361599656
1975,4,0.15144101309452368
1975,5,0.03279785809906292
1976,0,0.24913003967462374
1976,1,0.018647811985134946
1976,2,0.13305405944544185
1976,3,0.41033313385198483
1976,4,0.1551521599397123
1976,5,0.033682795103102306
1977,0,0.24506993202694047
1977,1,0.017332197339535695
1977,2,0.1280045273913395
1977,3,0.4116754457428218
1977,4,0.16234553697473242
1977,5,0.03557236052463013
1978,0,0.23729978292422899
1978,1,0.017231192118479698
1978,2,0.12681592231513236
1978,3,0.41348438724262393
1978,4,0.16798967284497707
1978,5,0.03717904255455795
1979,0,0.23480364570193993
1979,1,0.01671485772318281
1979,2,0.12120212428764562
1979,3,0.41382210061257624
1979,4,0.1735848324309639
1979,5,0.0398724392436915
1980,0,0.24822026800670016
1980,1,0.01568698756942608
1980,2,0.09997906197654942
1980,3,0.4148097945869699
1980,4,0.17868950013224014
1980,5,0.04261438772811425
1981,0,0.24634700426780182
1981,1,0.015604494976786246
1981,2,0.09566713351492628
1981,3,0.4187353190926234
1981,4,0.1813484930358738
1981,5,0.04229755511198844
1982,0,0.2434251365985876
1982,1,0.01540229743766249
1982,2,0.09325580966546407
1982,3,0.41949441620621625
1982,4,0.18420680626663308
1982,5,0.04421553382543653
1983,0,0.24080917391705353
1983,1,0.015082854244166385
1983,2,0.08980231807421526
1983,3,0.41456636025455773
1983,4,0.19227718510775663
1983,5,0.04746210840225044
1984,0,0.24044004045493184
1984,1,0.013848988936941186
1984,2,0.08677955164518791
1984,3,0.41385022988577064
1984,4,0.19635533328783186
1984,5,0.048725855789336525
1985,0,0.23719339125692543
1985,1,0.013193936614568486
1985,2,0.08487748044768904
1985,3,0.4125072817639841
1985,4,0.202631350627781
1985,5,0.04959655928905195
1986,0,0.23499787518790316
1986,1,0.012311224716321728
1986,2,0.08262664831505571
1986,3,0.41169344352756865
1986,4,0.20804130381007352
1986,5,0.05032950444307724
1987,0,0.23442766357063832
1987,1,0.011571513108806957
1987,2,0.07970772120307716
1987,3,0.41043172871587724
1987,4,0.211831373658888
1987,5,0.05202999974271233
1988,0,0.2343954353122195
1988,1,0.011642518271573279
1988,2,0.07587511219387101
1988,3,0.41162969611488653
1988,4,0.2125400692396461
1988,5,0.05391716886780357
1989,0,0.23334508283397956
1989,1,0.011521422104266451
1989,2,0.07306115960659908
1989,3,0.41120487673391526
1989,4,0.21534761243235398
1989,5,0.05551984628888566
1990,0,0.23702705609220706
1990,1,0.011987677047552173
1990,2,0.07202095154954169
1990,3,0.4011475275020717
1990,4,0.2221737232649498
1990,5,0.055643064543677526
1991,0,0.23968777803719152
1991,1,0.011780889340409018
1991,2,0.06852729418149006
1991,3,0.39939549587637324
1991,4,0.2247329265445459
1991,5,0.05587561601999028
1992,0,0.23722688644124368
1992,1,0.011264730801817762
1992,2,0.06088089553005212
1992,3,0.37748722688644126
1992,4,0.26799789468279034
1992,5,0.04514236565765488
1993,0,0.2392314284425601
1993,1,0.01026437366701676
1993,2,0.058757579076915145
1993,3,0.3694916783185242
1993,4,0.2763004439518805
1993,5,0.04595449654310328
1994,0,0.24222388583770033
1994,1,0.00906964880782812
1994,2,0.05743890077711454
1994,3,0.35877781679176907
1994,4,0.2858165002683132
1994,5,0.04667324751727473
1995,0,0.23969206506194785
1995,1,0.009028214004089761
1995,2,0.0571029523796795
1995,3,0.3551342537522888
1995,4,0.2895510618676575
1995,5,0.04949145293433661
1996,0,0.24025108065851192
1996,1,0.009243079186976916
1996,2,0.05703730954351758
1996,3,0.3557359207823661
1996,4,0.28953217449952484
1996,5,0.04820043532910267
1997,0,0.23617030958484383
1997,1,0.008752104600543025
1997,2,0.05520499946910977
1997,3,0.3586846057002442
1997,4,0.2923309114626784
1997,5,0.04885706918258073
1998,0,0.23601054575016905
1998,1,0.008790657741781076
1998,2,0.052569196988231
1998,3,0.3551137011176368
1998,4,0.297719899405092
1998,5,0.049795998997090044
1999,0,0.23506695686345636
1999,1,0.008252471207037272
1999,2,0.05024031921646867
1999,3,0.35342039237024275
1999,4,0.3012529850971857
1999,5,0.05176687524560926
