YEAR,FTOTVAL
1964,5606.482136901042
1965,6286.349034945978
1966,5986.1867665807995
1967,6228.670363370577
1968,6085.904429921934
1969,6525.539545306632
1970,7130.533665927897
1971,7573.102161633501
1972,7891.508553529716
1973,8554.076280605876
1974,9064.367321886977
1975,9589.555663772731
1976,10719.699026308648
1977,11616.965026994525
1978,12487.720850082278
1979,13552.498955315345
1980,14810.072671523307
1981,15752.147808076159
1982,17837.60759711781
1983,19472.0626631743
1984,20383.80355809664
1985,23038.751805576303
1986,24151.827101144103
1987,25419.996992196277
1988,26894.177091806236
1989,27661.59778037107
1990,29891.7918977213
1991,30090.778182087804
1992,30903.798696242688
1993,31793.479284243513
1994,33495.83604598549
1995,35074.43918486473
1996,47096.7493262929
1997,50077.18594677518
1998,53858.6551940147
1999,55453.353630016
