YEAR,EDGROUP,FTOTVAL
1964,0,4217.146464877237
1964,1,3571.077188427056
1964,2,4338.952591954255
1964,3,5144.019546064829
1964,4,7249.663107065118
1964,5,8664.293119437298
1965,0,3757.461347353138
1965,1,3739.0854435653405
1965,2,4956.493729707049
1965,3,5701.295753249878
1965,4,7941.850234599929
1965,5,11125.086654665814
1966,0,3628.216721181479
1966,1,3543.406196625567
1966,2,4672.955959637906
1966,3,5340.535969214361
1966,4,7706.949320670658
1966,5,9353.11374752317
1967,0,4196.813458944501
1967,1,3835.009142282246
1967,2,5066.343013604421
1967,3,5660.656488760221
1967,4,7633.893679094556
1967,5,9064.900812314792
1968,0,5459.3048095477925
1968,1,3841.0035432889476
1968,2,5034.345267145631
1968,3,5733.286982234161
1968,4,7579.420787853899
1968,5,9164.986032522798
1969,0,6016.516571394887
1969,1,4282.364895781178
1969,2,5522.568318455261
1969,3,6101.01453068652
1969,4,7930.532889882471
1969,5,9425.73205814974
1970,0,6513.260871428725
1970,1,4842.116611757684
1970,2,5962.306481017891
1970,3,6640.375664806683
1970,4,8702.079269582242
1970,5,10374.82159946786
1971,0,6920.227157348223
1971,1,4968.832449255841
1971,2,6459.801857507371
1971,3,7076.976219383175
1971,4,8993.732645180957
1971,5,10818.095431479238
1972,0,7153.555290838685
1972,1,5105.786409533695
1972,2,6644.2980490130185
1972,3,7385.516314429129
1972,4,9505.696177463467
1972,5,10787.535067551924
1973,0,7669.5816626607275
1973,1,5819.158205213512
1973,2,7394.165082285639
1973,3,8078.284750401686
1973,4,10071.971901354276
1973,5,11454.050634894356
1974,0,8264.864093059336
1974,1,5848.944379720946
1974,2,7870.576453245303
1974,3,8604.426956491621
1974,4,10388.678442396435
1974,5,11584.918277660505
1975,0,8774.969734728273
1975,1,6347.897783060818
1975,2,8279.703608141546
1975,3,9126.429491046858
1975,4,10887.37658193074
1975,5,11940.140432635932
1976,0,9913.993769845014
1976,1,6389.471450643383
1976,2,8884.778994133783
1976,3,9962.765297394382
1976,4,12356.923425650197
1976,5,14308.10733004494
1977,0,10566.300198915833
1977,1,7214.630224869958
1977,2,9631.358090481677
1977,3,10901.719787026017
1977,4,13414.90953816723
1977,5,15411.960743036647
1978,0,11106.10344080127
1978,1,7827.358048179372
1978,2,10849.91507597377
1978,3,11696.123025734018
1978,4,14318.820171025993
1978,5,16457.53200018788
1979,0,11900.960908606856
1979,1,8303.72307337793
1979,2,11342.53901702225
1979,3,12836.447098871084
1979,4,15385.600137107698
1979,5,17974.268645019518
1980,0,13276.895749894717
1980,1,9237.397547976248
1980,2,11514.05513160603
1980,3,13952.41050875404
1980,4,16827.27960498123
1980,5,18746.49777421609
1981,0,13981.14202641006
1981,1,9985.809540064252
1981,2,11882.02661284058
1981,3,15088.473407203415
1981,4,17750.271525816675
1981,5,18949.18018482082
1982,0,15921.305333188291
1982,1,11562.642780710157
1982,2,13404.405391767838
1982,3,16578.541648935625
1982,4,20155.37762391638
1982,5,23172.12675078981
1983,0,17654.09633788522
1983,1,11647.89907215298
1983,2,13680.518414695529
1983,3,17648.589130099062
1983,4,22068.998580636686
