YEAR,EDGROUP,0
1964,0,22958.145354791664
1964,1,19440.94421379689
1964,2,23621.257910598964
1964,3,28004.042408776964
1964,4,39467.165954862525
1964,5,47168.41174221671
1965,0,20192.59728067576
1965,1,20093.845173720132
1965,2,26636.197303445664
1965,3,30638.76337796475
1965,4,42679.50316074001
1965,5,59786.2156821741
1966,0,19189.638238328836
1966,1,18741.07537395261
1966,2,24715.2640705248
1966,3,28246.094741174707
1966,4,40762.05495702706
1966,5,49468.61861064999
1967,0,21580.01480589262
1967,1,19719.617009615333
1967,2,26051.135775953953
1967,3,29107.09566520511
1967,4,39253.48129790408
1967,5,46611.71997692265
1968,0,27231.012390024505
1968,1,19158.92567392526
1968,2,25111.314192522485
1968,3,28597.63546738398
1968,4,37806.1508898152
1968,5,45714.95033022373
1969,0,28801.06482726715
1969,1,20499.680756104528
1969,2,26436.534540445264
1969,3,29205.556558396285
1969,4,37963.46094386741
1969,5,45120.97936236283
1970,0,29570.204356286453
1970,1,21983.209417379923
1970,2,27068.871423821296
1970,3,30147.305518222372
1970,4,39507.43988390349
1970,5,47101.690061584035
1971,0,29715.455413653326
1971,1,21336.166537104597
1971,2,27738.389176136607
1971,3,30388.53588603111
1971,4,38619.087978406955
1971,5,46452.90178277182
1972,0,29429.72646651045
1972,1,21005.205288821628
1972,2,27334.642173639673
1972,3,30384.014117561648
1972,4,39106.43407408463
1972,5,44379.91926790861
1973,0,30570.952507365564
1973,1,23195.16460598107
1973,2,29473.14201799054
1973,3,32200.043015101055
1973,4,40146.87999879837
1973,5,45655.845830688886
1974,0,31009.770077158584
1974,1,21945.239312713013
1974,2,29530.402852576437
1974,3,32283.809940756553
1974,4,38978.321515871685
1974,5,43466.61337778231
1975,0,29650.622733646687
1975,1,21449.546608962515
1975,2,27977.118491910212
1975,3,30838.205250247327
1975,4,36788.44547034391
1975,5,40345.7345218768
1976,0,30703.638705209905
1976,1,19788.193082642567
1976,2,27516.16054483235
1976,3,30854.684126030414
1976,4,38269.391849238666
1976,5,44312.208401149204
1977,0,30938.126982425798
1977,1,21124.437298419234
1977,2,28200.616488930424
1977,3,31920.235536412438
1977,4,39278.85512775369
1977,5,45126.2210556113
1978,0,30530.67835876261
1978,1,21517.407274445097
1978,2,29826.41654385188
1978,3,32152.642197742905
1978,4,39362.43665015054
1978,5,45241.7554685164
1979,0,30406.95512149056
1979,1,21216.012452480612
1979,2,28980.187188491873
1979,3,32797.12233761541
1979,4,39310.208350310444
1979,5,45924.256388024936
1980,0,30470.47574600844
1980,1,21199.827372605494
1980,2,26424.756527035825
1980,3,32020.782117590483
1980,4,38618.60669343196
1980,5,43023.21239182599
1981,0,28269.869177401244
1981,1,20191.306890009917
1981,2,24025.45781116367
1981,3,30508.893229365323
1981,4,35891.04902520129
1981,5,38315.242333707516
1982,0,29183.752675734206
1982,1,21194.324217041732
1982,2,24570.2750831104
1982,3,30388.466842498965
1982,4,36944.80718463888
1982,5,42474.50833419775
1983,0,30470.97027919005
1983,1,20104.273798536058
1983,2,23612.574783764492
1983,3,30461.464838551037
1983,4,38091.0915501789
1983,5,44645.70928383002
