YEAR,SCHOOLYEARS,FTOTVAL
1964,0,3787.9391534391534
1964,1,3852.098184056633
1964,2,5563.961461229534
1964,3,7393.2555368065805
1964,4,9401.005596772095
1964,5,11537.605749486653
1965,0,3628.9946308724834
1965,1,4011.4067164179105
1965,2,5697.702606353481
1965,3,7665.9707042843675
1965,4,9880.974967907574
1965,5,12506.475773889637
1966,0,3640.6975354742344
1966,1,3989.792578973759
1966,2,5959.277802482112
1966,3,8039.3901597334925
1966,4,10429.242678843228
1966,5,12798.038866930172
1967,0,4353.082352941176
1967,1,4575.832256251756
1967,2,6566.294866693195
1967,3,8718.70450778469
1967,4,11152.939563567363
1967,5,13549.803728638011
1968,0,8409.350299063311
1968,1,4490.252445100572
1968,2,6694.839864894124
1968,3,8979.069755263066
1968,4,11429.617747440274
1968,5,14177.374216651746
1969,0,9274.73752038777
1969,1,5097.574398460058
1969,2,7362.760729708293
1969,3,9735.920654076932
1969,4,12207.397872460178
1969,5,14959.719438325992
1970,0,10117.313261475112
1970,1,5402.24547583564
1970,2,7913.1092679238145
1970,3,10647.72896683538
1970,4,13331.178079083225
1970,5,16465.051445086705
1971,0,10542.29525440313
1971,1,5636.407699037621
1971,2,8346.780236697778
1971,3,11118.703206381617
1971,4,13883.055552596537
1971,5,17469.490211853044
1972,0,10889.758048676911
1972,1,6007.61679174484
1972,2,8634.315558538096
1972,3,11516.505198863135
1972,4,14415.921544209215
1972,5,18073.2963353546
1973,0,11824.950566281652
1973,1,6500.414890950113
1973,2,9466.315477822249
1973,3,12490.91941940137
1973,4,15500.186841129416
1973,5,19136.677336086734
1974,0,12832.387157807603
1974,1,6729.973163105784
1974,2,10204.385243075509
1974,3,13424.408620499835
1974,4,16344.779669762642
1974,5,19990.870004814635
1975,0,13495.398685347487
1975,1,7273.655162659123
1975,2,10902.649118584923
1975,3,14262.083353593536
1975,4,17451.79308067466
1975,5,20753.516068496363
1976,0,13969.895848161328
1976,1,7788.658523632501
1976,2,11363.796505039661
1976,3,14946.705702299285
1976,4,18823.08380952381
1976,5,23267.714630401402
1977,0,15147.648767985384
1977,1,8519.03196347032
1977,2,12210.42631058358
1977,3,16148.459537441273
1977,4,19839.205937559855
1977,5,24522.044055944058
1978,0,16245.242252834989
1978,1,9211.12782521346
1978,2,13217.601886485607
1978,3,17332.624273865367
1978,4,21361.00680506174
1978,5,26329.237173950594
1979,0,17647.022782996777
1979,1,10053.864082687338
1979,2,14108.304509770214
1979,3,18968.939397255133
1979,4,23026.02586174772
1979,5,28573.040882543803
1980,0,19486.138493640257
1980,1,10600.996483001172
1980,2,14107.235367967956
1980,3,20744.284685785635
1980,4,25200.956922602527
1980,5,30799.78432893716
1981,0,20639.075586991068
1981,1,11672.365439770554
1981,2,14779.354963740936
1981,3,22002.1841561212
1981,4,27210.739335340084
1981,5,32755.166601486115
1982,0,22112.043251022573
1982,1,13044.201694452036
1982,2,16150.500356633382
1982,3,23496.734209485297
1982,4,30012.327149577926
1982,5,37625.69154851265
1983,0,23176.75007660096
1983,1,12758.494695700725
1983,2,16434.225289403385
1983,3,24264.249410438573
1983,4,31893.307377442357
1983,5,40501.128125404844
1984,0,24015.556346932983
1984,1,13501.908897014016
1984,2,17378.025510204083
1984,3,25165.240273467367
1984,4,33217.736175188016
1984,5,42745.759964344834
1985,0,26199.661963735172
1985,1,15046.27206809584
1985,2,18842.370109855372
1985,3,27317.99206766522
1985,4,36163.5325870875
1985,5,47184.22816443833
1986,0,27865.45802968961
1986,1,15130.833682739343
1986,2,19387.19205352718
1986,3,28492.574828988723
1986,4,38059.87835365854
1986,5,49935.29691241336
1987,0,28982.65779509411
1987,1,15166.125
1987,2,19921.53227633069
1987,3,29488.39043081697
1987,4,40319.71745665442
1987,5,52819.050809741624
1988,0,30694.209512868903
1988,1,16492.91672780631
1988,2,20573.73629290618
1988,3,31109.144861850917
1988,4,42412.71160111004
1988,5,54851.3966706302
1989,0,32235.583881286653
1989,1,16807.98974148543
1989,2,20883.301091725334
1989,3,32091.160430953343
1989,4,43682.64612619552
1989,5,57172.833935018054
